"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Class room Sompal Singh Memorial Public School","14-Jun-2023","1000000","07-Nov-2023"
"2","Normal/Others","WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya","14-Jun-2023","1000000","08-Dec-2023"
"3","Normal/Others","WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges","Uttar Pradesh","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Classroom and hall Galaxy Public School lakhna","14-Jun-2023","1000000","15-Mar-2024"
"4","Normal/Others","WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1484933","12-Aug-2023"
"5","Normal/Others","WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1486089","12-Aug-2023"
"6","Normal/Others","WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1484550","12-Aug-2023"
"7","Normal/Others","WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1484940","12-Aug-2023"
"8","Normal/Others","WS/MP190/2023-2024/1301-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi HighMast Light","19-Jun-2023","243000","24-Aug-2023"
"9","Normal/Others","WS/MP190/2023-2024/1302-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","243000","24-Aug-2023"
"10","Normal/Others","WS/MP190/2023-2024/1303-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED SEMI High Mast Light","19-Jun-2023","243000","24-Aug-2023"
"11","Normal/Others","WS/MP190/2023-2024/1304-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","243000","24-Aug-2023"
"12","Normal/Others","WS/MP190/2023-2024/1305-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","243000","24-Aug-2023"
"13","Normal/Others","WS/MP187/2023-2024/1362-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Light ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
